,rating,rating_title,rating_description,rating_pros,rating_cons
1815,5.0,good times,It was an experience and i learned a lot about leadership and creating a positive work environment. I got to manage 30-40 for the southeast region and travel all over and work for one of the biggest companies in the world. I loved it. And will miss it,"Pay, perks, people",Temporary Contractor
1816,4.0,Great culture,Supportive culture and nice people. Makes it fun to work there. Impactful projects. Good food. Depending on how high up your position is affects your work life balance.,,
1817,4.0,Productive and Steady Work environment,Coordinate events that took place in building.. Managed fluid work environment for software engineers.. Free Food!. Hardest part about the job was staying busy because sometimes there really was nothing to do. I have never been comfortable with sitting around doing nothing.. Management was great.,,
1818,3.0,Productive and Fun Work Place,Working Within Google taught me most of my IT skills and all my general knowledge when it comes to businesses and advertisement. I also learnt about accounts and credit control etc.,Dress down,Long Hours
1819,2.0,Stressful with lack of structure,Bad structure and poor management. Nothing ever makes any sense. They have lied about its compensation in the beginning and snese then the pay structure still doenst add up.,,
1820,5.0,Very beneficial with potential for training and future learning,Excellent company to work with and very strong communication from management down - the goals are set and very clearly communicated which puts everyone on the same wave length..  There is always the potential to undertake training to grow yourself and offer more to the business.,"Training, Communication, good people",Nothing
1821,5.0,Great to work,"Really good place to work and expand, endless opportunity while you work. Always great to know that you can expand and have lots of different things to do.",,
1822,5.0,good work place,good to work and great work life balance and great to be with google and its amazing job to work at. management is good and i would recommend every one to work at this place.,,
1823,2.0,Not a great place for parents with kids,"Even though they mentioned in the interview that they were a family oriented company, it was not true. The perks are really only for the single Engineers. The carpool buses hour do not accommodate parents who have to pick kids up from school.",Free three meals a day,
1824,5.0,fun place and the best people,Google appeals to all of the different types of learners and teammates. People are generally very accepting of different ideas and the innovative nature of the tech world drives us forward.,"free breakfast, free lunch, dogs in the office",
